synthetic_user_id,journey_instance_id,path_cohort_id,event_id,event_type,event_time,touch_position,ad_product,format,placement,creative,interaction_type,marketplace,advertiser_id,campaign_group_id,campaign_id,ad_group_id,keyword_id,keyword_text,match_type,target_id,audience_id,advertised_asin,sku_id,currency,cost,converted,purchase_count,revenue,new_to_brand_purchase
SYN_U02035,J_COV_20260102_01,coverage_202601_01,EVT_008122,TOUCHPOINT,2026-01-02T08:00:00Z,1,AMAZON_DSP,AUDIO,,,IMPRESSION,US,adv_demo_001,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG01,,,,TGT_DSP_AUDIO_2,AUD_LIFESTYLE_FITNESS,B0DEMOTRAILB,SKU_TRAIL_BLUE,USD,0.020000,0,0,0.00,0
SYN_U02036,J_COV_20260102_02,coverage_202601_02,EVT_008124,TOUCHPOINT,2026-01-02T08:00:00Z,1,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,US,adv_demo_001,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG01,,,,TGT_DSP_DISPLAY_1,AUD_IN_MARKET_RUNNING,B0DEMOTRAILB,SKU_TRAIL_BLUE,USD,0.010000,0,0,0.00,0
SYN_U02037,J_COV_20260102_03,coverage_202601_03,EVT_008126,TOUCHPOINT,2026-01-02T08:00:00Z,1,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,US,adv_demo_001,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG01,,,,TGT_DSP_ONLINE_VIDEO_2,AUD_LIFESTYLE_FITNESS,B0DEMOPEG41B,SKU_PEG_BLACK,USD,0.020000,0,0,0.00,0
SYN_U02038,J_COV_20260102_04,coverage_202601_04,EVT_008128,TOUCHPOINT,2026-01-02T08:00:00Z,1,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,US,adv_demo_001,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG01,,,,TGT_DSP_STREAMING_TV_1,AUD_IN_MARKET_RUNNING,B0DEMOPEG41B,SKU_PEG_BLACK,USD,0.030000,0,0,0.00,0
SYN_U02039,J_COV_20260102_05,coverage_202601_05,EVT_008130,TOUCHPOINT,2026-01-02T08:00:00Z,1,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,US,adv_demo_001,CG_DEMO_001,C_DEMO_SB,C_DEMO_SB_AG01,K_RUNNING_EXACT,running shoes,EXACT,TGT_SB_K_RUNNING_EXACT_EXACT,,B0DEMOTRAILB,SKU_TRAIL_BLUE,USD,0.000000,0,0,0.00,0
SYN_U02040,J_COV_20260102_06,coverage_202601_06,EVT_008132,TOUCHPOINT,2026-01-02T08:00:00Z,1,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,US,adv_demo_001,CG_DEMO_001,C_DEMO_SB,C_DEMO_SB_AG02,K_DISCOVERY,new running shoe styles,BROAD,TGT_SB_K_DISCOVERY_BROAD,,B0DEMOPEG41W,SKU_PEG_WHITE,USD,1.150000,0,0,0.00,0
SYN_U02041,J_COV_20260102_07,coverage_202601_07,EVT_008134,TOUCHPOINT,2026-01-02T08:00:00Z,1,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,US,adv_demo_001,CG_DEMO_001,C_DEMO_SB,C_DEMO_SB_AG02,K_NIKE_EXACT,nike running shoes,PHRASE,TGT_SB_K_NIKE_EXACT_PHRASE,,B0DEMOVOMEROR,SKU_VOMERO_RED,USD,0.000000,0,0,0.00,0
SYN_U02042,J_COV_20260102_08,coverage_202601_08,EVT_008136,TOUCHPOINT,2026-01-02T08:00:00Z,1,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,US,adv_demo_001,CG_DEMO_001,C_DEMO_SB,C_DEMO_SB_AG02,K_NIKE_EXACT,nike running shoes,PHRASE,TGT_SB_K_NIKE_EXACT_PHRASE,,B0DEMOVOMEROR,SKU_VOMERO_RED,USD,0.000000,0,0,0.00,0
SYN_U02043,J_COV_20260102_09,coverage_202601_09,EVT_008138,TOUCHPOINT,2026-01-02T08:00:00Z,1,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,CLICK,US,adv_demo_001,CG_DEMO_001,C_DEMO_SB,C_DEMO_SB_AG01,K_LIGHTWEIGHT,lightweight running shoes,PHRASE,TGT_SB_K_LIGHTWEIGHT_PHRASE,,B0DEMOPEG41B,SKU_PEG_BLACK,USD,1.410000,0,0,0.00,0
SYN_U02044,J_COV_20260102_10,coverage_202601_10,EVT_008140,TOUCHPOINT,2026-01-02T08:00:00Z,1,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,US,adv_demo_001,CG_DEMO_001,C_DEMO_SD,C_DEMO_SD_AG01,,,,TGT_SD_PRODUCT_SKU_PEG_BLACK,AUD_PRODUCT_VIEWERS,B0DEMOPEG41B,SKU_PEG_BLACK,USD,0.000000,0,0,0.00,0
